Time/s,True_SOC,50,100,200,300
3909,0.61151,0.613343179,0.61206758,0.616607308,0.602392256
3910,0.61151,0.613328874,0.612082303,0.616631329,0.602327049
3911,0.61151,0.613321781,0.612115622,0.616652906,0.602343857
3912,0.61151,0.613322616,0.612156808,0.616686881,0.602356195
3913,0.61151,0.613331795,0.612204731,0.616715252,0.602360129
3914,0.61151,0.613352299,0.612255692,0.616744876,0.602261126
3915,0.61151,0.613390326,0.612318218,0.616759002,0.602061272
3916,0.61151,0.61345011,0.612407506,0.616741598,0.601923883
3917,0.61151,0.61352694,0.612525165,0.616718113,0.601951897
3918,0.61151,0.61361587,0.612655222,0.616730571,0.602016985
3919,0.61151,0.613708913,0.612791836,0.616756737,0.602116823
3920,0.61151,0.613800824,0.612926543,0.616791189,0.602225125
3921,0.61151,0.613894343,0.613053203,0.616829515,0.602285624
3922,0.61151,0.613991678,0.613173366,0.616859615,0.602279425
3923,0.61151,0.614096165,0.613293052,0.616873741,0.602229476
3924,0.61151,0.614206493,0.613421917,0.616860867,0.60229373
3925,0.61151,0.614319801,0.613549292,0.616865456,0.602383912
3926,0.61151,0.614430845,0.613672256,0.616878808,0.602482021
3927,0.61151,0.61453706,0.61378777,0.61689049,0.602624834
3928,0.61151,0.614628255,0.613892317,0.616896331,0.60288316
3929,0.61151,0.614700854,0.613971412,0.61691457,0.603192985
3930,0.61151,0.614751577,0.614013851,0.616943181,0.603450119
3931,0.61151,0.614777863,0.614018261,0.61696291,0.603608489
3932,0.61151,0.614783645,0.613992572,0.616949737,0.603770792
3933,0.61151,0.614771187,0.613934994,0.616935194,0.603844583
3934,0.61151,0.614747405,0.613853753,0.616910517,0.603822947
3935,0.61151,0.614715278,0.613758862,0.616880476,0.603683352
3936,0.61151,0.614686251,0.613663554,0.616844118,0.603443682
3937,0.61151,0.614667416,0.6135813,0.616813242,0.60307467
3938,0.61151,0.614664853,0.613534927,0.616762817,0.602788687
3939,0.61151,0.614679635,0.613525331,0.616732538,0.6026088
3940,0.61151,0.61470747,0.613547087,0.616734564,0.602506876
3941,0.61151,0.61473906,0.613595903,0.616746664,0.602589488
3942,0.61151,0.614764392,0.613652647,0.616782188,0.60282433
3943,0.61151,0.61477375,0.613697827,0.616835237,0.603131652
3944,0.61151,0.614762604,0.613716304,0.616884589,0.603471637
3945,0.61151,0.614729941,0.61369437,0.616933703,0.603671551
3946,0.61151,0.61468643,0.613636732,0.616959333,0.603630602
3947,0.61151,0.614646137,0.613564909,0.616937876,0.603398085
3948,0.61151,0.614619374,0.613505304,0.61687237,0.603115439
3949,0.61151,0.614614308,0.613472939,0.61679709,0.602873206
3950,0.61151,0.614628255,0.613472879,0.616742849,0.602696419
3951,0.61151,0.614652455,0.61350435,0.616712213,0.602671385
3952,0.61121,0.614615858,0.613463998,0.616405904,0.602818131
3953,0.61093,0.614503086,0.613344431,0.615908086,0.602953792
3954,0.61059,0.614329934,0.613141835,0.615344763,0.603051245
3955,0.61038,0.614115179,0.612855256,0.614849687,0.603069782
3956,0.61007,0.613876045,0.612491369,0.614507437,0.602919579
3957,0.60975,0.613626242,0.612070262,0.614309788,0.602650285
3958,0.60943,0.613379955,0.611613333,0.614207268,0.602431893
3959,0.6091,0.613133073,0.611128807,0.614170909,0.602289438
3960,0.60876,0.612870157,0.610618353,0.614165783,0.602092862
3961,0.60849,0.612592459,0.610091329,0.614109993,0.601894081
3962,0.60815,0.612303793,0.609554231,0.613974869,0.601722956
3963,0.60788,0.612007737,0.609010458,0.613746166,0.60166955
3964,0.60754,0.611694694,0.608454764,0.613467753,0.601602376
3965,0.60726,0.611366808,0.607887864,0.613146722,0.60144645
3966,0.60693,0.611041784,0.607317865,0.612762392,0.601408899
3967,0.60665,0.610704601,0.606737971,0.612387776,0.60133177
3968,0.60632,0.610363722,0.606150031,0.612016797,0.601218641
3969,0.60604,0.610016823,0.605555654,0.611662745,0.601009429
3970,0.60571,0.609673917,0.604962289,0.611310899,0.600770652
3971,0.6054,0.609332323,0.604373753,0.610980332,0.600428998
3972,0.6051,0.609003842,0.603799224,0.610643506,0.600104094
3973,0.60479,0.608686566,0.603238761,0.610315382,0.599810362
3974,0.60448,0.608369887,0.602690756,0.610004246,0.599497378
3975,0.60418,0.608053744,0.602154613,0.609701097,0.599139452
3976,0.60387,0.607743621,0.601632416,0.609386623,0.598820329
3977,0.60357,0.607431114,0.601121187,0.609080672,0.598460555
3978,0.60326,0.607113719,0.600623727,0.608778238,0.598005176
3979,0.60296,0.60680151,0.600148261,0.608459055,0.597536743
3980,0.60265,0.606494129,0.599698722,0.608141661,0.597020864
3981,0.60235,0.606200516,0.599281609,0.607816398,0.596537232
3982,0.60204,0.605912507,0.598898113,0.607503474,0.596041799
3983,0.60174,0.60563606,0.598549247,0.607195079,0.59556812
3984,0.60143,0.605370879,0.598234415,0.606892884,0.595138907
3985,0.60112,0.605120659,0.597949564,0.606589437,0.59484607
3986,0.60082,0.604874671,0.597682118,0.606299222,0.594666243
3987,0.60051,0.604628563,0.597416639,0.606017947,0.594584644
3988,0.60021,0.604367495,0.597139299,0.605745256,0.594523847
3989,0.5999,0.604088545,0.596841097,0.605468631,0.594431818
3990,0.59963,0.603797913,0.596518397,0.605170548,0.594352603
3991,0.59929,0.603485942,0.596168876,0.604868829,0.594182432
3992,0.59902,0.603155136,0.595797658,0.604557753,0.593861938
3993,0.59868,0.602816105,0.595418453,0.604231119,0.593402863
3994,0.59841,0.602481425,0.595047355,0.603884459,0.592912495
3995,0.59807,0.602152765,0.59469384,0.60354507,0.592370093
3996,0.59779,0.601838887,0.594366908,0.603210151,0.591848016
3997,0.59746,0.601541042,0.594068646,0.602888286,0.591394603
3998,0.59718,0.601253033,0.593795598,0.602587759,0.590990424
3999,0.59685,0.600976288,0.593543112,0.602296054,0.590700865
4000,0.59657,0.600704849,0.59329927,0.602016509,0.59051019
4001,0.59624,0.600426078,0.593054533,0.601752102,0.590303898
4002,0.59596,0.600141108,0.592802584,0.601478398,0.590093374
4003,0.59563,0.599849224,0.592541575,0.601199269,0.589797378
4004,0.59535,0.599561632,0.592277586,0.60089314,0.589522064
4005,0.59501,0.599275827,0.592010915,0.600577295,0.589276493
4006,0.59474,0.598991334,0.591738343,0.600259364,0.589062631
4007,0.5944,0.598707318,0.591455758,0.599940479,0.588921845
4008,0.59413,0.598412573,0.591154933,0.599629164,0.588823557
4009,0.59379,0.598097861,0.590829015,0.599327683,0.588686228
4010,0.59352,0.597764909,0.590476692,0.599027097,0.588437796
4011,0.59318,0.597425163,0.590105176,0.598706365,0.58818078
4012,0.59291,0.597077727,0.58971709,0.598380268,0.587894678
4013,0.59257,0.596719027,0.589318395,0.59805423,0.587548852
4014,0.5923,0.596359313,0.588914275,0.597718894,0.58723402
4015,0.59196,0.595997393,0.588503897,0.597390354,0.586924016
4016,0.59169,0.595626414,0.58808887,0.597066104,0.586629987
4017,0.59135,0.595250905,0.587666869,0.596745014,0.58637464
4018,0.59107,0.594856262,0.587235928,0.596441329,0.585980296
4019,0.59074,0.594456911,0.58680737,0.596129537,0.585459948
4020,0.59046,0.594064474,0.586395085,0.59580189,0.584893644
4021,0.59013,0.593690336,0.586009026,0.595468998,0.584337473
4022,0.58985,0.5933339,0.585655272,0.595141411,0.58382833
4023,0.58952,0.592996418,0.585333049,0.594823003,0.583438039
4024,0.58924,0.592672706,0.585032046,0.594519317,0.583201826
4025,0.58891,0.592348456,0.584736466,0.594238997,0.583012223
4026,0.58863,0.592018068,0.584436774,0.59396261,0.582854033
4027,0.58829,0.591678441,0.58412528,0.593683958,0.582664371
4028,0.58802,0.591331542,0.583800793,0.593394101,0.582390606
4029,0.58768,0.590986907,0.583468676,0.593080163,0.582133234
4030,0.58741,0.59064132,0.583129048,0.592760444,0.58183682
4031,0.58707,0.590285361,0.582788289,0.592446685,0.581352115
4032,0.5868,0.58994019,0.582463086,0.592118025,0.580772698
4033,0.58646,0.589616716,0.582167208,0.591783702,0.580188274
4034,0.58619,0.589316785,0.58190763,0.591460884,0.57960695
4035,0.58585,0.589041889,0.581689596,0.591152906,0.579082012
4036,0.58558,0.588797748,0.581509113,0.590856254,0.578753889
4037,0.58524,0.588567138,0.581350148,0.590586066,0.578576565
4038,0.58496,0.588332117,0.581194878,0.590339184,0.578397334
4039,0.58463,0.588092625,0.58103615,0.590091228,0.578159332
4040,0.58435,0.587857127,0.580874205,0.589820564,0.577949286
4041,0.58402,0.587625444,0.580705523,0.589535415,0.577764213
4042,0.58374,0.587399304,0.580526412,0.5892362,0.577667475
4043,0.58341,0.587170303,0.580326617,0.588934243,0.577652872
4044,0.58313,0.586924374,0.580095112,0.588634074,0.577660859
4045,0.5828,0.586655915,0.57982403,0.58833307,0.577618599
4046,0.58252,0.586367428,0.579512,0.588019729,0.577551246
4047,0.58218,0.586047173,0.579160452,0.587705314,0.577286541
4048,0.58191,0.585721135,0.578783453,0.587365568,0.576990485
4049,0.58157,0.585381985,0.578389704,0.587024331,0.576594472
4050,0.5813,0.585036457,0.577992678,0.586681485,0.576111495
4051,0.58096,0.584697545,0.577603936,0.586338699,0.575636029
4052,0.58069,0.584358335,0.577229321,0.586011112,0.575116754
4053,0.58035,0.584026754,0.576876581,0.585695982,0.574558258
4054,0.58008,0.583705425,0.576553404,0.585389614,0.573983967
4055,0.57974,0.583405077,0.576264739,0.585088253,0.573498487
4056,0.57947,0.583122015,0.576006174,0.584798753,0.573115587
4057,0.57913,0.582846522,0.575770319,0.584523141,0.572783232
4058,0.57886,0.582572758,0.575550735,0.584253728,0.572436213
4059,0.57852,0.582302034,0.575346768,0.583981812,0.5720281
4060,0.57825,0.582052469,0.575161457,0.58369416,0.571696699
4061,0.57791,0.581816196,0.574990332,0.583405316,0.571447909
4062,0.57764,0.581590891,0.57482475,0.583117545,0.571323693
4063,0.5773,0.581366301,0.574650466,0.582836151,0.571294844
4064,0.57703,0.581128299,0.574453354,0.58255738,0.571299791
4065,0.57669,0.580870032,0.57422322,0.582274616,0.571249187
4066,0.57642,0.580588996,0.573959351,0.581979215,0.571053445
4067,0.57609,0.580289304,0.573673308,0.581665397,0.570664704
4068,0.57581,0.580002248,0.573381662,0.581326544,0.57029736
4069,0.57548,0.579729676,0.573088288,0.580986917,0.57007736
4070,0.5752,0.579452276,0.572784543,0.580666721,0.569941163
4071,0.57487,0.579159498,0.572461009,0.580362737,0.569844544
4072,0.57459,0.578848302,0.572107613,0.580063641,0.569795072
4073,0.57426,0.578510761,0.571715593,0.57976383,0.569737315
4074,0.57398,0.578144908,0.571281254,0.57945329,0.569652021
4075,0.57365,0.577752352,0.570804119,0.579128742,0.569510996
4076,0.57337,0.577330351,0.570289731,0.578789592,0.569241881
4077,0.57304,0.576888621,0.569750607,0.578434229,0.568850875
4078,0.57276,0.576429844,0.569202363,0.578071356,0.5682289
4079,0.57243,0.575978041,0.568671882,0.577698171,0.567515194
4080,0.57215,0.57554251,0.568177521,0.577332079,0.566769183
4081,0.57182,0.575132668,0.567732394,0.576986253,0.566030025
4082,0.57154,0.574745715,0.567345023,0.576666713,0.565277457
4083,0.57121,0.574393332,0.567020833,0.576368272,0.564633012
4084,0.5709,0.574070871,0.56675458,0.576094091,0.564088106
4085,0.5706,0.573777854,0.566538453,0.57583648,0.563669622
4086,0.57029,0.57349807,0.566361547,0.575590253,0.563270569
4087,0.56999,0.573244393,0.566216409,0.575338542,0.56302619
4088,0.56968,0.573009729,0.566085458,0.575085163,0.562955797
4089,0.56938,0.572776079,0.565949321,0.574830115,0.562949657
4090,0.56907,0.572539091,0.565793335,0.574562967,0.563034654
4091,0.56877,0.572283685,0.565601468,0.574283123,0.563080132
4092,0.56846,0.572009981,0.565369308,0.573982537,0.56306386
4093,0.56816,0.571717978,0.565097451,0.573662043,0.562955976
4094,0.56785,0.571415305,0.564791024,0.573325455,0.562805414
4095,0.56755,0.571100473,0.564454317,0.572982728,0.562587202
4096,0.56724,0.570775092,0.564093649,0.572638988,0.562351525
4097,0.56694,0.570443094,0.56371057,0.572300673,0.562107682
4098,0.56663,0.570094407,0.563308775,0.571969748,0.561816812
4099,0.56633,0.56973207,0.562892795,0.571642339,0.561450183
4100,0.56603,0.569365621,0.562469661,0.571315229,0.561056137
4101,0.56572,0.568992496,0.56204617,0.570990384,0.560615659
4102,0.56542,0.568618476,0.561630189,0.570667326,0.560124636
4103,0.56511,0.568253398,0.561229229,0.570346653,0.559661448
4104,0.56481,0.567897916,0.560844243,0.570033491,0.559253335
4105,0.5645,0.567547202,0.560473561,0.569729328,0.55889976
4106,0.5642,0.567200303,0.560112119,0.569432318,0.558632314
4107,0.56389,0.566848934,0.55975157,0.5691396,0.558406353
4108,0.56359,0.566484511,0.55938679,0.568843722,0.55810684
4109,0.56328,0.566113055,0.559022725,0.568535507,0.557667851
4110,0.56298,0.565759182,0.558668852,0.568215251,0.55730468
4111,0.56267,0.565413356,0.558323622,0.567897379,0.556976497
4112,0.56237,0.56506449,0.557988703,0.567583442,0.556571782
4113,0.56206,0.56472677,0.557668269,0.567270577,0.556188881
4114,0.56176,0.564398944,0.557360649,0.566963673,0.555849791
4115,0.56145,0.56408143,0.557061851,0.566665292,0.555605173
4116,0.56115,0.563766718,0.55676192,0.566375732,0.555459559
4117,0.56084,0.563444018,0.556449115,0.566088915,0.555321395
4118,0.56054,0.563105285,0.55611974,0.565793991,0.555108309
4119,0.56023,0.562756956,0.555776298,0.565484524,0.554836512
4120,0.55993,0.562408507,0.555422068,0.565163493,0.554557145
4121,0.55962,0.562057793,0.555059612,0.564837039,0.554247737
4122,0.55932,0.561710238,0.554691732,0.564511001,0.553987086
4123,0.55901,0.561353266,0.554317176,0.564188123,0.553673565
4124,0.55871,0.560985386,0.553942323,0.563863158,0.553220689
4125,0.5584,0.560621381,0.553579509,0.563534319,0.55267632
4126,0.5581,0.560278952,0.55323875,0.563209653,0.552168012
4127,0.55779,0.559956133,0.552922606,0.562899888,0.551764488
4128,0.55749,0.559646666,0.552625477,0.562607288,0.551443696
4129,0.55718,0.559336782,0.552340865,0.562324584,0.551130116
4130,0.55688,0.55902791,0.552065194,0.562042475,0.550810158
4131,0.55658,0.558720648,0.551797271,0.561755121,0.550465167
4132,0.55627,0.558422625,0.551538229,0.561461329,0.550113797
4133,0.55597,0.558137,0.551288247,0.56116575,0.54982698
4134,0.55566,0.557860315,0.551041782,0.56087321,0.549619138
4135,0.55536,0.557575881,0.550793231,0.560580373,0.549383044
4136,0.55505,0.557294667,0.550540268,0.560284674,0.549158692
4137,0.55475,0.557006836,0.550280929,0.559983432,0.548882186
4138,0.55444,0.556720316,0.550017953,0.559677839,0.54860425
4139,0.55414,0.556436419,0.549751282,0.559370756,0.548323929
4140,0.55383,0.556151688,0.549482226,0.559064269,0.548046827
4141,0.55353,0.555860043,0.549212158,0.558755219,0.547675908
4142,0.55322,0.555576503,0.548947394,0.558446169,0.547307789
4143,0.55292,0.555303633,0.548688412,0.558142781,0.546992004
4144,0.55261,0.555030942,0.548434019,0.557845056,0.546680272
4145,0.55231,0.554758787,0.548184156,0.557549715,0.546351671
4146,0.552,0.554490685,0.547938645,0.557256043,0.546040177
4147,0.5517,0.554222643,0.54769665,0.556962132,0.545718253
4148,0.55139,0.553960323,0.54745847,0.556669176,0.545429289
